RMSE,MAPE,R2,RAE,TRAIN,TEST
3.1030839,5.03791734,94.3383601,20.5492119,0.001002863,0.000963027
3.10290182,5.03740829,94.3390266,20.5477207,0.001002702,0.000962914
3.10268473,5.0365303,94.339819,20.5450628,0.001002534,0.000962779
3.10259811,5.03704686,94.3401391,20.5460879,0.00100241,0.000962724
3.10245564,5.0362246,94.3406575,20.5438632,0.001002215,0.000962636
3.10226159,5.03591354,94.341369,20.5425575,0.001002085,0.000962515
3.10216882,5.03567315,94.3417074,20.5417354,0.00100194,0.000962458
3.10198566,5.03572006,94.3423765,20.5412977,0.001001793,0.000962344
3.10189186,5.03593964,94.3427207,20.5416339,0.001001622,0.000962285
3.10173619,5.03615411,94.3432901,20.5416912,0.00100146,0.000962188
3.10161152,5.03567262,94.3437487,20.5403863,0.00100133,0.000962111
3.10142818,5.03523697,94.3444165,20.5386491,0.001001157,0.000961997
3.10130873,5.03547812,94.3448516,20.5391205,0.001001034,0.000961923
3.10114394,5.03450859,94.3454552,20.5362472,0.001000872,0.00096182
3.10105051,5.03453555,94.3457961,20.5362301,0.001000724,0.000961762
3.1009002,5.03490177,94.346346,20.5365932,0.001000566,0.000961669
3.10077409,5.03477557,94.3468085,20.5358748,0.001000438,0.00096159
3.10065056,5.03474807,94.3472571,20.5356528,0.0010003,0.000961513
3.10051889,5.03522829,94.347737,20.5362437,0.001000121,0.000961432
3.10036396,5.03435155,94.3483063,20.5340746,0.001000003,0.000961335
3.10020013,5.03367832,94.3489035,20.5318434,0.000999859,0.000961233
3.10004382,5.0330668,94.3494748,20.5300365,0.000999691,0.000961136
3.10001101,5.03426857,94.3495944,20.5325879,0.000999568,0.000961116
3.09982475,5.03256377,94.3502764,20.5283459,0.000999434,0.000961
3.09976029,5.03400393,94.3505081,20.5313862,0.000999292,0.000960961
3.09953795,5.03263286,94.3513223,20.5276463,0.000999137,0.000960822
3.09950322,5.03369586,94.3514506,20.5298308,0.000999003,0.0009608
3.099343,5.03351124,94.3520334,20.5290393,0.000998864,0.000960701
3.09918917,5.03236743,94.3525981,20.5259276,0.000998753,0.000960605
3.09900234,5.03148008,94.3532776,20.5236639,0.0009986,0.00096049
3.09893678,5.0319269,94.3535178,20.5244617,0.000998475,0.000960449
3.09883007,5.03218276,94.353911,20.5246175,0.000998324,0.000960382
3.09870583,5.03278553,94.3543591,20.5255475,0.000998191,0.000960305
3.09857627,5.03257466,94.3548334,20.5246776,0.000998066,0.000960225
3.09847442,5.03257098,94.3552039,20.5245601,0.000997929,0.000960162
3.09831837,5.03208145,94.3557737,20.5230089,0.0009978,0.000960065
3.09824729,5.03190273,94.356034,20.5222789,0.000997658,0.000960021
3.0981051,5.03126378,94.3565546,20.5204742,0.00099753,0.000959932
3.09790388,5.02932601,94.3572906,20.5156349,0.000997412,0.000959807
3.09782977,5.03095237,94.3575589,20.5190285,0.000997256,0.000959761
3.09774248,5.03219422,94.357877,20.5214074,0.000997138,0.000959707
3.09766749,5.03225506,94.3581489,20.5211377,0.000996998,0.000959661
3.09747723,5.03042942,94.3588445,20.5167343,0.000996853,0.000959543
3.0973149,5.0282108,94.3594371,20.5111114,0.000996742,0.000959442
3.09723189,5.03010043,94.3597362,20.5152517,0.000996606,0.000959391
3.0971513,5.03030703,94.3600319,20.5153907,0.000996477,0.000959341
3.09705835,5.03033301,94.360371,20.5153469,0.000996362,0.000959283
3.09691443,5.03016297,94.360897,20.5144537,0.00099625,0.000959193
3.09680213,5.03010764,94.3613065,20.5141046,0.0009961,0.000959124
3.09672746,5.03101956,94.3615808,20.5158524,0.000995975,0.000959077
3.09650137,5.02869909,94.3624051,20.5100528,0.000995864,0.000958937
3.096479,5.02969111,94.3624821,20.5120778,0.000995725,0.000958924
